Title,Subtitle,Content
Sec. 34-5.,Filing fees and charges.,"(a)

               The fees and charges as currently established or as hereafter adopted by resolution
               of the city council from time to time shall be paid to the city when any plat is tendered
               to the planning and zoning commission, city council, or any other authorized board
               or agency of the city. Each of the fees and charges shall be paid in advance, and
               no action of the commission, the city council or any other board or agency shall be
               valid until the fee shall have been paid to the officer designated therein. These
               fees shall be charged on all plats, regardless of the action taken by the planning
               and zoning commission and the city council, and whether the plat is approved or denied.
               The subdivider shall cause a check to be made payable to the city to cover all recording
               fees involved in finishing the platting process and have this delivered to the city
               secretary prior to the submission for approval.

               (b)

               In the event of a replat, the subdivider shall reimburse the city for all costs incurred
               in the process of carrying out all replatting requirements as outlined in section 34-167(m).

               (Ord. No. 99-029, § 9, 4-26-1999; Ord. No. 99-017, 1-11-1999; Ord. No. 99-038, 6-14-1999)"
Sec. 34-6.,Maintenance bond.,"In the event a subdivider develops independently of the city furnishing engineering
               and inspection of required improvements, the subdivider shall furnish a good and sufficient
               maintenance bond with a reputable and solvent corporate surety, in favor of the city,
               to indemnify the city against any repairs which may become necessary to any part of
               the construction work performed in connection with the subdivision, arising from defective
               workmanship or materials used therein, for a full period of two years from the date
               of final acceptance of the entire project. Final acceptance will be withheld until
               said maintenance bond is furnished to the city attorney for approval. The maintenance
               bond shall have attached thereto a copy of the contract for such improvements and
               such other information and data necessary to determine the validity and enforceability
               of such bond. When the bond has been examined and approved, the city attorney shall
               furnish the city council with a written certification that the maintenance bond is
               valid and enforceable as regards all improvements required by subdivisions, which
               have not been approved as provided by law and further, no permits shall be issued
               by the building inspector of the city on any piece of property other than an original
               or a resubdivided lot in a duly approved and recorded subdivision or on a lot of separate
               ownership of record prior to the adoption of the subdivision ordinance.

               (Ord. No. 99-029, § 10, 4-26-1999;
               
                  Ord. No. 2014-030, § 1, 10-20-2014
                  
               )"
Sec. 34-7.,Conflict with other ordinances.,"Whenever the standards and specifications in this chapter conflict with those contained
               in another ordinance, the most stringent or restrictive provision shall govern.

               (Ord. No. 99-029, § 11, 4-26-1999)"
Sec. 34-33.,Preapplication.,"The subdivider of property shall:

                  (1)

                  Consult early and informally with the zoning administrator.

                  (2)

                  Avail himself of the advice and assistance of the zoning administrator.

                  (3)

                  For property located outside the corporate limits of the city but within its extraterritorial
                  jurisdiction, consult with the county judge or his designated appointee in relation
                  to those requirements established by the county for property located outside the corporate
                  limits of the city. The zoning administrator shall:

                  a.

                  Informally confer with subdivider.

                  b.

                  Advise and assist the subdivider in procedure for approval of plats and on regulations
                  and policies of the city regarding development either within the corporate limits
                  of the city or its extraterritorial jurisdiction.

               (Ord. No. 99-029, § 4.1, 4-26-1999)"
DIVISION 7A.,MH-3—MANUFACTURED HOME SUBDIVISION DISTRICT,NULL
Sec. 42-365.,General purpose and description.,"The MH-3 manufactured home subdivision district is intended to provide for quality
               manufactured home subdivision development containing most of the characteristics and
               atmosphere of a standard single-family residential subdivision.

               (Ord. No. 2011-003, § 1, 2-21-2011)"
Sec. 42-366.,Permitted uses.,"A building or premises shall be used only for the following purposes: uses as listed
               in division 17 of this article.

               (Ord. No. 2011-003, § 1, 2-21-2011)"
Sec. 42-367.,Permitted specific uses.,"The following specific uses shall be permitted in the MH-3 district, when granted
               in accordance with division 17 of this article: uses as listed in division 17 of this article.

               (Ord. No. 2011-003, § 1, 2-21-2011)"
Sec. 42-368.,"Height, setback, and area regulations.","See section 42-660, pertaining to area, setback, height, and coverage regulations.

               (Ord. No. 2011-003, § 1, 2-21-2011)"
Sec. 42-369.,Parking requirements.,"Off-street parking requirements shall be provided in accordance with article V of
               this chapter.

               (Ord. No. 2011-003, § 1, 2-21-2011)"
Sec. 34-34.,Approval procedure for preliminary plat.,"(a)

               The subdivider shall submit to the city no later than 20 days prior to the commission
               meeting at which it is to be considered:

               (1)

               Filing fee as currently established or as hereafter adopted by resolution of the city
               council from time to time.

               (2)

               Ten copies of plat stamped ""Preliminary Plat.""

               (3)

               Ten copies of a letter of transmittal, stating briefly the type of street surfacing,
               drainage, sanitary facilities, and water supply proposed, and the name and address
               of the owner or agent, engineer, and surveyor.

               (4)

               Supplementary materials as applicable in other sections of these regulations.

               The preliminary plat shall not be considered as filed until all information, materials,
               and documents required for preliminary plat approval have been filed with the zoning
               administrator and the zoning administrator has verified, in writing, that all such
               information, materials, and documents have been submitted.

               (b)

               The zoning administrator shall:

               (1)

               Conduct a study of plats and materials submitted.

               (2)

               Request written reports from departments and utilities if deemed necessary.

               (3)

               Transmit plats and reports to the planning and zoning commission for review.

               (4)

               Consult with the city's consulting engineer, the subdivider's engineer, the private
               utility companies, and the school district.

               (5)

               Schedule preliminary review with the subdivider.

               (c)

               The planning and zoning commission shall:

               (1)

               Act within 30 days after the filing of preliminary plat.

               (2)

               Submit one of the following recommendations to the city council. The recommendation
               shall be submitted in writing, with appropriate signature and date of action by the
               PZC.

               a.

               Approve.

               b.

               Approve with conditions.

               c.

               Disapprove.

               (3)

               Make notes on two copies of preliminary plat as to action taken.

               (d)

               The city council shall, within 30 days after the planning and zoning commission has
               submitted its recommendation, conclude one of the following:

               (1)

               Preliminary plat approved.

               (2)

               Preliminary plat approved with conditions.

               (3)

               Preliminary plat not approved but may be returned for further consideration by the
               planning and zoning commission.

               (4)

               Preliminary plat not approved. The developer may prepare a new concept and resubmit.

               (Ord. No. 99-029, § 4.2, 4-26-1999)"
Sec. 34-35.,Conditions of preliminary plat approval.,"(a)

               Conditional approval shall be considered to be the approval of a plat or replat until
               such conditions are complied with. All objections made to the preliminary plat, or
               conditions imposed, shall be furnished to the subdivider in writing. If no decision
               is rendered by the commission within the 30-day period described above or such longer
               period as may have been agreed to by the subdivider and commission, the preliminary
               plat, as submitted, shall be deemed to be recommended for approval to the city council.

               (b)

               Approval of the preliminary plat shall be deemed an expression of approval of the
               layout only and shall not constitute acceptance of the final plat.

               (c)

               Preliminary approval will expire six months after the approval by the city council
               of the preliminary plat or of sections thereof. The subdivider may apply in writing
               for an extension prior to the end of such six-month period. This period may be extended
               six months but not beyond a total of one year.

               (Ord. No. 99-029, § 4.3, 4-26-1999)"
Sec. 34-36.,Approval procedure for final plat.,"(a)

               The subdivider shall:

               (1)

               Conform to preliminary plat as approved.

               (2)

               Incorporate all changes, directions, and additions imposed by the city.

               (3)

               Submit to the city no later than 20 days prior to the commission meeting at which
               it is to be considered:

               a.

               Three sets of detailed plans signed by a registered professional engineer showing
               details of streets, alleys, culverts, bridges, storm sewers, water mains, sanitary
               sewers and other engineering details; and

               b.

               Ten copies and one sepia of the final plat with all conditional changes and proper
               signatures, prepared and signed by a registered public surveyor, and containing the
               notarized signature of the owner of the property and dedicatory language for all property
               to be dedicated for any public purpose, including streets and utility easements.

               The final plat shall not be considered as filed until all information, materials,
               and documents required for final plat approval have been filed with the zoning administrator
               and the zoning administrator has verified, in writing, that all such information,
               materials, and documents have been submitted.

               (b)

               The zoning administrator shall:

               (1)

               Make a study of the plats, engineering plans, and reports, and submit plans to the
               city consulting engineer for written recommendation.

               (2)

               Request written reports from departments and utilities if deemed necessary.

               (3)

               Make available plats and reports to the planning and zoning commission for review.

               (c)

               The planning and zoning commission shall:

               (1)

               Act within 30 days after the submittal of the final plat and engineering plan.

               (2)

               Submit one of the following recommendations to the city council:

               a.

               Approve.

               b.

               Approve with conditions.

               c.

               Disapprove.

               (3)

               Make notes on two copies of the final plat as to action taken.

               (d)

               The city council shall, within 30 days after the planning and zoning commission has
               submitted its recommendation, conclude one of the following:

               (1)

               Final plat approved.

               (2)

               Final plat approved with conditions.

               (3)

               Final plat not approved but may be returned for further consideration by the planning
               and zoning commission.

               (4)

               Final plat not approved.

               (e)

               The city secretary shall, within 30 days after city council approval:

               (1)

               Take action on plats as follows:

               a.

               No final plat shall be recorded unless and until all requirements of the subdivision
               regulations have been complied with and until such stipulations as may be set by the
               city council have been met.

               b.

               For plats located within the corporate limits of the city, review the file plat for
               proper signature and approval, and record at county clerk's office.

               c.

               For plats located outside the corporate limits of the city but within its extraterritorial
               jurisdiction, review the final plat for proper signature and approval, and forward
               copies to the county judge for action and approval by the commissioner's court prior
               to recording at county clerk's office.

               (2)

               Retain three copies of plat recorded in the county records for the city files.

               (3)

               Distribute copies as directed.

               (f)

               The subdivider shall:

               (1)

               Direct his engineer to design, stake, and supervise the construction (to be inspected
               by the city) of facilities in accordance with approved plans and specifications and
               these regulations.

               (2)

               Direct his contractor to construct all improvements as identified in the approved
               engineering plans and to provide to the city a one-year maintenance bond in the amount
               of ten percent of the contract price, along with three blue line sets and one sepia
               set of as-built plans, checked and corrected by the engineer.

               (g)

               The zoning administrator shall, upon completion of said improvements and compliance
               with these regulations, receive and cause the project to be considered for acceptance
               by the city council for approval by the city, including the title, use, and maintenance
               of the improvements.

               (Ord. No. 99-029, § 4.4, 4-26-1999; Ord. No. 2001-048, 9-24-2001)"
Sec. 34-37.,Combination preliminary and final plat.,"The subdivider may, at his option, elect to combine the preliminary plat and final
               plat whenever the subdivision:

                  (1)

                  Involves the division of a tract or parcel into no more than two lots;

                  (2)

                  Each parcel so subdivided fronts on an existing street and the proposed subdivision
                  shall not require the extension of an existing street or the extension, modification,
                  or creation of municipal facilities and/or public improvements; and

                  (3)

                  The proposed development will be of the same type of use and of comparable intensity
                  as adjacent existing or planned development.

               (Ord. No. 99-029, § 4.5, 4-26-1999)"
Sec. 34-162.,Design standards manual.,"The subdivider shall design and construct all water and sewer systems, streets and
               drainage facilities, and any other facilities required by these regulations which
               are necessary for the proper development of the subdivision, in accordance with this
               section and the city design standards manual. The design standards manual shall be
               kept on file in the office of the city secretary and shall not be codified.

               (Ord. No. 2012-010, § 1, 3-19-2012)"
Sec. 34-163.,Relation to land use.,"All subdivisions shall conform to the comprehensive master plan of the city and to
               all applicable zoning regulations. No subdivision design shall be approved that requires
               a change in zoning or an amendment to the land use plan, as adopted, until a corrected
               zoning and amended land use plan is approved.

               (Ord. No. 99-029, § 8.1, 4-26-1999)"
Sec. 34-38.,Administrative approval of certain plats.,"(a)

               Pursuant to V.T.C.A., Local Government Code § 212.0065, the city council hereby delegates
               to the director of community development the authority to approve the following plats:

               (1)

               Amending plats described by V.T.C.A., Local Government Code § 212.016;

               (2)

               Minor plats or replats involving four or fewer lots fronting on an existing street
               and not requiring the creation of any new street or the extension of municipal facilities;
               or

               (3)

               Replats under V.T.C.A., Local Government Code § 212.0145, that do not require the
               creation of any new street or the extension of municipal facilities.

               The director of community development shall sign the plat to indicate that the plat
               has been administratively approved.

               (b)

               The director of community development may, for any reason, elect to present the plat
               for approval to the planning and zoning commission and city council.

               (c)

               The director of community development shall not be authorized to disapprove the plat
               and shall be required to refer any plat which the director refuses to approve to the
               planning and zoning commission and city council within the time period specified in
               V.T.C.A., Local Government Code § 212.009.

               (Ord. No. 2010-001, § 3(A), 2-15-2010)"
Sec. 34-39.,Completeness determination.,"(a)

               Requirements for completeness determination:

               (1)

               Every application for approval of a plat or plan for development submittal after June
               19, 2006, shall be subject to a determination of completeness by the zoning administrator.

               (2)

               No application shall be deemed complete and accepted for processing unless it is accompanied
               by all documents required by and prepared in accordance with the requirements of this
               section and other applicable ordinances. For a determination of completeness to be
               issued, an application must include the following:

               a.

               A completed application form signed by the owner or the owner's authorized agent;

               b.

               Every item, study and document required by this section or other applicable ordinances;
               and

               c.

               A nonrefundable application submittal fee, as may be specified by council action by
               a separate resolution.

               (3)

               The zoning administrator or city engineer may from time to time identify additional
               requirements for a complete application that are not contained within but are consistent
               with the application contents and standards set for in this section.

               (4)

               A determination of completeness shall not constitute a determination of compliance
               with the substantive requirements of this section.

               (b)

               Determination of completeness; expiration.

               (1)

               Not later than the tenth business day after the date of application for plat approval
               or a plan for development is submitted, The zoning administrator shall make a written
               determination whether the application constitutes a complete application. This shall
               include a determination that all information and documents required by this section
               or other applicable ordinances have been submitted. A determination that the application
               is incomplete shall be mailed to the applicant within such time period by United States
               certified mail or regular mail at the address listed on the application, or hand delivered
               to the applicant or the applicant's representative. The determination shall specify
               the documents or other information needed to complete the application and shall state
               that the application will expire if the documents or other information is not submitted
               within 45 days after the date the application was submitted.

               (2)

               An application for approval of a plat or plan for development plan filed on or after
               June 19, 2006, shall be deemed complete on the 11th business day after the application
               has been received, if the applicant has not otherwise been notified that the application
               is incomplete. For purposes of this section, the applicant shall be deemed to have
               been notified if the city has mailed or delivered a copy of the determination as provided
               in subsection (b)(1) of this section.

               (3)

               The processing of an application by any city employee prior to the time the application
               is determined to be complete shall not be binding on the city as the official acceptance
               of the application for filing. The incompleteness as an application shall be grounds
               for denial of the application regardless of whether a determination of incompleteness
               was mailed to the applicant.

               (4)

               An application for approval of a plat or plan for development shall be deemed to expire
               on the 45th day after the application is submitted to The zoning administrator for
               processing if the applicant fails to provide documents or other information necessary
               to meet the requirements of this section or other requirements as specified in the
               determination provided to the applicant. Upon expiration, the application will be
               returned to the applicant together with any accompanying documents. Thereafter, a
               new application must be submitted.

               (5)

               No vested rights accrue solely from the filing of an application that has expired
               pursuant to this section, or from the filing of a complete application that is subsequently
               denied.

               (Ord. No. 99-029, § 4.11, 4-26-1999; Ord. No. 2006-030, 6-19-2006)"
Secs. 34-40—34-64.,Reserved.,NULL
ARTICLE III.,PLAT FORM AND CONTENT,NULL
DIVISION 8.,RESERVED,"Footnotes:  --- (8) ---
            
            Editor's note—
               
                  Ord. No. 2015-005, § 1, adopted April 20, 2015
                  
               , repealed art. VIII (formerly art. III), div. 8, §§ 42-379—42-387, in its entirety.
               Former div. 8 pertained to ""MF—Multifamily Residential District"" and was derived from
               Ord. No. 2004-028, §§ 14.1—14.9, adopted February 17, 2004; Ord. No. 2009-002, §§
               2I(14.5), (14.9), adopted January 19, 2009 and Ord. No. 2011-002, § 4, adopted February
               21, 2011."
Secs. 42-379—42-417.,Reserved.,NULL
DIVISION 11.,CBD—CENTRAL BUSINESS DISTRICT,NULL
Sec. 34-65.,Preliminary plat.,"The preliminary plat shall be drawn on sheets not greater than 24 inches by 36 inches
               and to a scale not smaller than 100 feet to the inch, and shall contain the following
               information:

                  (1)

                  Existing features inside. Existing features inside subdivision:

                  a.

                  The existing boundary lines (accurate in scale) of the land to be subdivided. Boundary
                  lines shall be drawn in heavy lines for easy identification.

                  b.

                  The location of existing watercourses, railroads, and other similar drainage and transportation
                  features.

                  c.

                  The outline of wooded areas or the location of important individual trees may be required.

                  d.

                  The location and width of existing streets, alleys, easements, buildings and structures,
                  sewers, water mains, culverts, or other underground structures within or adjacent
                  to the tract.

                  e.

                  Topographical information with contour lines at one-foot intervals, unless otherwise
                  permitted by the planning and zoning commission due to conditions of terrain involved.
                  All elevations shall be referred to a geodetic survey or a city survey.

                  (2)

                  Existing features outside. Existing features outside subdivision:

                  a.

                  The name and property lines of adjoining property owners.

                  b.

                  The name and location of adjacent subdivisions, streets, easements, pipe lines, watercourses,
                  etc. In the case of easements, a written statement as to the easement use shall be
                  included with the plat.

                  c.

                  All lines outside of subdivision boundaries to be dashed lines.

                  (3)

                  New features inside. New features inside of subdivision:

                  a.

                  The proposed name of the subdivision.

                  b.

                  The location, right-of-way width, and names of proposed streets.

                  c.

                  The approximate width and depth of all lots. If the side lines are not parallel, the
                  approximate distance between them at the building line and at the narrowest point
                  should be given.

                  d.

                  The location of building lines, alleys and easements.

                  e.

                  The location and approximate size of sites for schools, churches, parks, including
                  commercial retail, industrial, office, multifamily, educational, medical, and other
                  special land uses.

                  f.

                  The approximate acreage of the property to be subdivided.

                  (4)

                  Key map. A key map showing relation of subdivision to major thoroughfares in all directions
                  to a distance of at least one-half mile.

                  (5)

                  Title, etc. The date, scale, north point and title under which the plat is to be recorded, with
                  the name, address, and phone number of the owner, the name of the licensed land surveyor
                  or registered professional engineer platting the tract.

               (Ord. No. 99-029, § 5.1, 4-26-1999)"
Sec. 34-66.,Final plat.,"The final plat shall be sized and contain the information, details and documents as
               follows:

                  (1)

                  Sheet size and scale. All final plats shall be drawn in permanent reproducible ink on Mylar or tracing
                  sheets 8½ inches by 11 inches, 8½ inches by 14 inches, 11 inches by 17 inches, or
                  24 inches by 36 inches and to a scale of one inch equals 100 feet. Where more than
                  one sheet is required, an index sheet of maximum size, 24 inches by 36 inches, shall
                  be filed showing the entire subdivision; all sheets shall be of the same size.

                  (2)

                  Measurements. The length and bearing of all straight lines, radii, arc lengths, tangent lengths,
                  and central angles of all curves shall be indicated along the boundary line of the
                  subdivision and along each block. All dimensions along the lines of each lot shall
                  be shown. The curve data pertaining to block or lot boundary may be placed in a curve
                  table at the base of the plat and prepared in tabular form.

                  (3)

                  Existing features inside. Existing features inside subdivision:

                  a.

                  The existing boundary lines with accurate distances and bearings of the land to be
                  subdivided. Boundary lines shall be drawn in heavy lines for easy identification.

                  b.

                  An accurate metes and bounds description of the area included in the subdivision,
                  including reference to section or abstract corners, established subdivisions, primary
                  control points, and total acreage being platted, all shall be placed upon the final
                  plat. Where more than one ownership is involved in the area being subdivided, the
                  limits of each owner's land shall be clearly designated on the final plat.

                  c.

                  The location of existing watercourses and other similar drainage features, floodprone
                  land, railroads, highways, and other transportation features.

                  d.

                  True bearings and distances to the nearest established street lines, official monuments,
                  or subdivision corner, which shall be accurately described on the plat.

                  e.

                  The location and width of existing streets, alleys, easements, rights-of-way, buildings
                  and structures to be retained.

                  f.

                  An accurate location of the subdivision with reference to the deed records of the
                  county which shall include the volume and page of the deed of the property to be subdivided.

                  (4)

                  Existing features outside. Existing features outside subdivision:

                  a.

                  The name and property lines of adjoining subdivisions and of the adjoining property
                  owners, together with the respective plat or deed references.

                  b.

                  The name and location of adjacent streets, alleys, easements, watercourses, etc.

                  c.

                  All lines outside of subdivision boundaries to be dashed lines.

                  (5)

                  Streets, alleys, easements. The lines and names of all proposed streets or other ways or easements to be dedicated
                  to public use, with the following engineering and surveying data:

                  a.

                  For streets and alleys. Complete curve data (delta, length, radius, tangent, point of curve, point of reverse
                  curve, point of tangent) shown on the centerline or on each side of street or in a
                  chart on the plat which lists all such data for each curve; length and bearings of
                  all tangents; dimensions from all angle points and points of curve to an adjacent
                  side lot line.

                  b.

                  For watercourses and easements. Distances to be provided along the side lot lines from the front lot line or the
                  high bank of a stream.

                  Traverse lines are to be provided along the edge of all large watercourses in a convenient
                  location, preferably along a utility easement, if paralleling the drainage easement
                  or stream.

                  (6)

                  Lots and blocks. The lines and numbers of all proposed lots and blocks with complete bearings and
                  dimensions for front, rear and side lot lines and area of each lot shall be shown.
                  (Use block numbers only when previous units of the same subdivision have numbered
                  blocks, otherwise use continuous consecutive lot numbers throughout subdivision).

                  (7)

                  Reservations. The use and property dimensions of all special reservations identified for the project,
                  including sites for schools, churches, and parks. The master plan for public sites,
                  school sites and park sites shall be followed or may be amended to conform to the
                  conditions established by the city council.

                  (8)

                  Monuments and control points.

                  a.

                  The description and location of all permanent survey monuments and control points.

                  b.

                  Suitable primary control points to which all dimension, bearings and similar data
                  shall be referred. Dimensions shall be shown in feet and decimals of a foot.

                  (9)

                  Key map. A key map showing relation of subdivision to major thoroughfares in all directions
                  to a distance of at least one-half mile.

                  (10)

                  Legend. The final plat shall show a legend including the name of the addition or subdivision,
                  date, scale, and north point; location of subdivision with reference to original land
                  grant or survey; abstract number; name and address of subdivider; name, address and
                  seal of surveyor and/or engineer.

                  (11)

                  Dedications and certificates. Such dedications and certificates as are applicable.

                  a.

                  Dedication deed. Accompanying the final plat shall be a dedication deed or certificate of dedication
                  executed by all persons owning an interest in the property subdivided and platted,
                  and acknowledged in the manner prescribed by the laws of the state for conveyance
                  of real property. Two true copies must be furnished with the original. The wife of
                  each married man executing such dedication deed or certificate of dedication shall
                  join her husband therein, unless satisfactory proof shall be provided showing that
                  the property to be subdivided does not constitute any portion of such party's homestead
                  and positively designates and identifies such party's actual homestead. In the case
                  of lien holders, there shall be executed a subordination agreement whereby all lien
                  holders subordinate their liens to all public streets, alleys, parks, school sites
                  and any drainage or utility easements, rights-of-way, or other public areas shown
                  on the final plat of such subdivision as being set aside for public uses and purposes.
                  The dedication deed or certificate of dedication shall, in addition to the above requirements,
                  contain the following:

                  1.

                  An accurate metes and bounds description of the tract of land subdivided (the description
                  placed on the final plat should be used for this purpose). Also, a description of
                  the limits of each owner's land and the lots, plots, and building sites of the subdivision
                  included within the boundary of each owner's land.

                  2.

                  A statement and express representation that the parties joining in such dedication
                  deed or certificate of dedication are the sole owners of such tract of land.

                  3.

                  An express dedication to the public for public use forever over the streets, alleys,
                  easements, rights-of-way, parks, school sites and other public places shown on the
                  attached plat.

                  4.

                  A positive reference and identification of the final plat of such subdivision by the
                  name of such subdivision, date of the plat, and the surveyor who prepared the plat.

                  b.

                  Surveyor's certificate. The surveyor's certificate, to be placed on the plat is as follows:

                  Know all men by these presents:

                  That I, ___________, do hereby certify that I prepared this plat and the field notes
                  made a part thereof from an actual and accurate survey of the land and that the corner
                  monuments shown thereon were properly placed under my personal supervision, in accordance
                  with the subdivision regulations of the City of Alvarado, Texas.

                                    (Professional Seal and Date)

                                  _____
                                    Name, Title, and Registration No.

                     &nbsp;

                  c.

                  Certificate of approval. The certificate of approval is to be placed on the plat.

                  1.

                  When a plat is approved by the city council, the following certificate shall be placed
                  on the plat:

                  Approved this _____ day of ___________, 20___, by the city council of the City of
                  Alvarado, Texas.

                                  _____
                                    Mayor

                                  _____
                                    City Secretary

                     &nbsp;

                  2.

                  When a plat is administratively approved by the director of community development
                  as provided in section 34-38, the following certificate shall be placed on the plat:

                  Approved this _____ day of ___________, 20___, by the director of community development
                  of the City of Alvarado, Texas, as authorized by section 4.6 of the Subdivision Ordinance
                  (section 34-38 of the city Code) of the City of Alvarado, Texas.

                                  _____
                                    Director of Community Development

                                  _____
                                    City Secretary

                     &nbsp;

                  d.

                  Certificate of recording to be placed on the plat:

                  Plat recorded in Volume _____, Page _____, Slide _____.

                                    Date:
                                     _____

                                  _____
                                    County Clerk, Johnson County, Texas

                                  _____
                                    Deputy, Johnson County, Texas

                     &nbsp;

                  (12)

                  Special restrictions. Where restrictions of use of land, other than those given in these regulations are
                  to be imposed by the subdivider, such restrictions shall be placed on the final plat
                  or on a separate instrument filed with the plat.

                  (13)

                  Tax receipt. Tax receipts and assessment releases showing that all taxes and all assessments have
                  been paid are to be submitted concurrent with the final plat.

                  (14)

                  Subdivision improvements. The developer shall install all survey monuments and markers, street paving, curbs
                  and gutters, alley grading, storm drainage, water and sanitary sewer mains and laterals,
                  fire hydrants, water valves, traffic signs, streetlights, street signs and sidewalks,
                  within and adjacent to the subdivision, or shall provide cash deposit or other guarantee
                  acceptable to the city for the payment of the cost of such installations prior to
                  the final approval by the city council.

                  (15)

                  Park improvements. Provisions for parks and open space shall be made as set forth in section 34-91.

               (Ord. No. 99-029, § 5.2, 4-26-1999; Ord. No. 2000-034, 7-10-2000; Ord. No. 2010-001, §§ 3(B), 3(C), 2-15-2010)"
Secs. 34-92—34-125.,Reserved.,"Editor's note— 
               
                  Ord. No. 2017-008, § 4, adopted June 19, 2017
                  
               , repealed §§ 34-92—34-106, in their entirety. Former §§ 34-92—34-106 pertained to
               ""Definitions,"" ""General requirements,"" ""Dedication of land in lieu of fee,"" ""Character
               and minimum area,"" ""Prior dedication; absence of prior dedication,"" ""Private park
               option-open space,"" ""Consideration of park, recreation and open space master plan/comprehensive
               plan,"" ""Special fund; right to refund,"" ""Criteria for acceptance of park land,"" ""Additional
               requirements, definitions,"" ""Easements for utilities,"" ""Dedication for public use,""
               ""Diversity of ownership,"" ""Partial development of large subdivision,"" ""Comprehensive
               group development,"", respectively; and were derived from Ord. No. 99-029, §§ 6.2—6.16,
               adopted April 26, 1999 and Ord. No. 2004-039, adopted July 12, 2004."
ARTICLE V.,IMPROVEMENTS PRIOR TO ACCEPTANCE,NULL
Sec. 34-126.,Monuments.,"Monuments, as prescribed in this article, shall be placed at all corners as required
               herein.

               (Ord. No. 99-029, § 7.1, 4-26-1999)"
Sec. 34-127.,Streets and alleys.,"(a)

               Before approval and acceptance of any final plat, the developer shall prepare and
               submit three copies of the complete engineering plans of streets, alleys, curbs and
               gutters, storm sewers and drainage structures, and water and sanitary sewer improvements
               for the area covered by the final plat. The developer shall have these plans prepared
               by qualified engineer, subject to the approval of the plans by the city. The zoning
               administrator shall review the plans and specifications and, if approved, shall mark
               them ""APPROVED"" and return one set to the developer. If not approved, two sets shall
               be marked, with the objections noted, and returned to the developer for corrections.

               (b)

               After approval of the plat and of the plans and specifications, the developer shall
               cause a contractor to install the facilities in accordance with the approved plans
               and specifications and the regulations of this article. The developer shall cause
               the engineer to design, stake, and supervise the construction of such improvements,
               and shall cause the contractor to construct the said improvements in accordance with
               these regulations.

               (c)

               The city will inspect the installation of the improvements. After the improvements
               have been completed and have been found to be installed in accordance with the approved
               plans and specifications, upon receipt by the city of a one-year maintenance bond
               in the amount of ten percent of the contract price from each separate contractor,
               along with three sets of as-built plans and one set of as-built sepias, and upon receipt
               of a letter of the contractor's compliance with these regulations, then the zoning
               administrator shall receive and approve for the city the title, use, and maintenance
               of the improvements.

               (Ord. No. 99-029, § 7.2, 4-26-1999)"
